passage,question,reference,answer,A,B,C
"As you read about sound, pay attention to the underlined words, and any hints to
the meaning of these words.
What is Sound?
The world around us is filled with sound. There are loud sounds
and soft sounds. There are pleasant sounds and unpleasant sounds.
At this very moment, you are surrounded by sound. Where does
sound come from? How does it get to your ears? Why are there
different kinds of sound? The study of these questions about sound is
called **acoustics**.
Imagine a cymbal hit with a drumstick. The cymbal shakes rapidly,
and this **vibration** causes the tiny particles in the air around it to
vibrate. These vibrating air particles, called **molecules**, bump into the
air particles next to them and make them vibrate. This spreading
vibration moves outward in every direction from the cymbal in waves.
When a small object is made to vibrate, the sound waves move up
and down very quickly. This produces a **high-pitched** sound, like a
high note in a song. When a large object is made to vibrate, the sound
waves move up and down more slowly. This produces a **low-pitched**
sound, like a low note in a song. Hitting a small cymbal makes a more
high-pitched sound than hitting a large cymbal.
The **volume** of a sound depends upon the amount of **energy**, or
force, applied to the object that is caused to vibrate. If the cymbal is hit
very hard with the drumstick, the volume of the sound is louder than if
it is hit lightly. The sound wave created by a hard hit carries the
energy of the hit along with it. When a sound wave hits an object, the
force that the sound wave carries causes movement in the object it
hits. An extremely loud sound wave, such as the sound of thunder,
can actually make the ground shake.",Select which context clues give a hint to the meaning of vibration,,B,..hit with a drumstick…,…shakes rapidly…,…bump into…
"As you read about sound, pay attention to the underlined words, and any hints to
the meaning of these words.
What is Sound?
The world around us is filled with sound. There are loud sounds
and soft sounds. There are pleasant sounds and unpleasant sounds.
At this very moment, you are surrounded by sound. Where does
sound come from? How does it get to your ears? Why are there
different kinds of sound? The study of these questions about sound is
called **acoustics**.
Imagine a cymbal hit with a drumstick. The cymbal shakes rapidly,
and this **vibration** causes the tiny particles in the air around it to
vibrate. These vibrating air particles, called **molecules**, bump into the
air particles next to them and make them vibrate. This spreading
vibration moves outward in every direction from the cymbal in waves.
When a small object is made to vibrate, the sound waves move up
and down very quickly. This produces a **high-pitched** sound, like a
high note in a song. When a large object is made to vibrate, the sound
waves move up and down more slowly. This produces a **low-pitched**
sound, like a low note in a song. Hitting a small cymbal makes a more
high-pitched sound than hitting a large cymbal.
The **volume** of a sound depends upon the amount of **energy**, or
force, applied to the object that is caused to vibrate. If the cymbal is hit
very hard with the drumstick, the volume of the sound is louder than if
it is hit lightly. The sound wave created by a hard hit carries the
energy of the hit along with it. When a sound wave hits an object, the
force that the sound wave carries causes movement in the object it
hits. An extremely loud sound wave, such as the sound of thunder,
can actually make the ground shake.",Select which context clues give a hint to the meaning of high-pitched,,C,…move up and down…,…made to vibrate…,…high note in a song…
"As you read about sound, pay attention to the underlined words, and any hints to
the meaning of these words.
What is Sound?
The world around us is filled with sound. There are loud sounds
and soft sounds. There are pleasant sounds and unpleasant sounds.
At this very moment, you are surrounded by sound. Where does
sound come from? How does it get to your ears? Why are there
different kinds of sound? The study of these questions about sound is
called **acoustics**.
Imagine a cymbal hit with a drumstick. The cymbal shakes rapidly,
and this **vibration** causes the tiny particles in the air around it to
vibrate. These vibrating air particles, called **molecules**, bump into the
air particles next to them and make them vibrate. This spreading
vibration moves outward in every direction from the cymbal in waves.
When a small object is made to vibrate, the sound waves move up
and down very quickly. This produces a **high-pitched** sound, like a
high note in a song. When a large object is made to vibrate, the sound
waves move up and down more slowly. This produces a **low-pitched**
sound, like a low note in a song. Hitting a small cymbal makes a more
high-pitched sound than hitting a large cymbal.
The **volume** of a sound depends upon the amount of **energy**, or
force, applied to the object that is caused to vibrate. If the cymbal is hit
very hard with the drumstick, the volume of the sound is louder than if
it is hit lightly. The sound wave created by a hard hit carries the
energy of the hit along with it. When a sound wave hits an object, the
force that the sound wave carries causes movement in the object it
hits. An extremely loud sound wave, such as the sound of thunder,
can actually make the ground shake.",Select which context clues give a hint to the meaning of low-pitched,,C,…move up and down…,…made to vibrate…,…low note in a song…
"As you read about sound, pay attention to the underlined words, and any hints to
the meaning of these words.
What is Sound?
The world around us is filled with sound. There are loud sounds
and soft sounds. There are pleasant sounds and unpleasant sounds.
At this very moment, you are surrounded by sound. Where does
sound come from? How does it get to your ears? Why are there
different kinds of sound? The study of these questions about sound is
called **acoustics**.
Imagine a cymbal hit with a drumstick. The cymbal shakes rapidly,
and this **vibration** causes the tiny particles in the air around it to
vibrate. These vibrating air particles, called **molecules**, bump into the
air particles next to them and make them vibrate. This spreading
vibration moves outward in every direction from the cymbal in waves.
When a small object is made to vibrate, the sound waves move up
and down very quickly. This produces a **high-pitched** sound, like a
high note in a song. When a large object is made to vibrate, the sound
waves move up and down more slowly. This produces a **low-pitched**
sound, like a low note in a song. Hitting a small cymbal makes a more
high-pitched sound than hitting a large cymbal.
The **volume** of a sound depends upon the amount of **energy**, or
force, applied to the object that is caused to vibrate. If the cymbal is hit
very hard with the drumstick, the volume of the sound is louder than if
it is hit lightly. The sound wave created by a hard hit carries the
energy of the hit along with it. When a sound wave hits an object, the
force that the sound wave carries causes movement in the object it
hits. An extremely loud sound wave, such as the sound of thunder,
can actually make the ground shake.",Select which context clues give a hint to the meaning of volume,,A,…sound is louder…,…hit very hard…,…hit lightly…
"As you read about sound, pay attention to the underlined words, and any hints to
the meaning of these words.
What is Sound?
The world around us is filled with sound. There are loud sounds
and soft sounds. There are pleasant sounds and unpleasant sounds.
At this very moment, you are surrounded by sound. Where does
sound come from? How does it get to your ears? Why are there
different kinds of sound? The study of these questions about sound is
called **acoustics**.
Imagine a cymbal hit with a drumstick. The cymbal shakes rapidly,
and this **vibration** causes the tiny particles in the air around it to
vibrate. These vibrating air particles, called **molecules**, bump into the
air particles next to them and make them vibrate. This spreading
vibration moves outward in every direction from the cymbal in waves.
When a small object is made to vibrate, the sound waves move up
and down very quickly. This produces a **high-pitched** sound, like a
high note in a song. When a large object is made to vibrate, the sound
waves move up and down more slowly. This produces a **low-pitched**
sound, like a low note in a song. Hitting a small cymbal makes a more
high-pitched sound than hitting a large cymbal.
The **volume** of a sound depends upon the amount of **energy**, or
force, applied to the object that is caused to vibrate. If the cymbal is hit
very hard with the drumstick, the volume of the sound is louder than if
it is hit lightly. The sound wave created by a hard hit carries the
energy of the hit along with it. When a sound wave hits an object, the
force that the sound wave carries causes movement in the object it
hits. An extremely loud sound wave, such as the sound of thunder,
can actually make the ground shake.",Select which context clues give a hint to the meaning of energy,,A,…or force…,…depends upon…,…caused to vibrate…
"How We Hear Sounds
When a sound is created, it travels from its source in waves, called
sound waves. Different **sources**, or causes, of sounds create different
kinds of sound waves. The part of the ear that is outside our head is called
the **pinna**. The pinna helps to catch the sound waves around us and guide
them inside the ear. As a sound wave enters the ear, it hits the eardrum.
The **eardrum** is a thin layer of skin called a **membrane** that separates the
outer ear from the middle ear. The eardrum is stretched tight, like the top
of a drum, causing it to vibrate when sound waves hit it.
Just behind the eardrum are three tiny bones called **the hammer, the
anvil, and the stirrup**. These are the smallest bones in the human body. All
together, they are no larger than a pea. When a sound wave hits the
eardrum, it begins to vibrate and press back against the tiny bones in the
inner ear. The bones pick up the sound wave and pass it on into the inner
ear. In the inner ear, a spiral-shaped tube called the **cochlea** carries the
sound wave along and transforms it into the kind of energy that the brain
can detect.
From the moment the sound was created—by a car horn, or a dog’s
bark, or a whistle—the sound wave has a certain pattern that is different
from other sound wave patterns. This pattern never changes as the sound
wave travels through the air, hits the ear drum, moves on to the middle and
inner ear. The pattern of the sound wave tells the brain what caused the
sound.",Select which context clues give a hint to the meaning of Sources,,B,…travels from…,…or causes…,…different kinds…
"How We Hear Sounds
When a sound is created, it travels from its source in waves, called
sound waves. Different **sources**, or causes, of sounds create different
kinds of sound waves. The part of the ear that is outside our head is called
the **pinna**. The pinna helps to catch the sound waves around us and guide
them inside the ear. As a sound wave enters the ear, it hits the eardrum.
The **eardrum** is a thin layer of skin called a **membrane** that separates the
outer ear from the middle ear. The eardrum is stretched tight, like the top
of a drum, causing it to vibrate when sound waves hit it.
Just behind the eardrum are three tiny bones called **the hammer, the
anvil, and the stirrup**. These are the smallest bones in the human body. All
together, they are no larger than a pea. When a sound wave hits the
eardrum, it begins to vibrate and press back against the tiny bones in the
inner ear. The bones pick up the sound wave and pass it on into the inner
ear. In the inner ear, a spiral-shaped tube called the **cochlea** carries the
sound wave along and transforms it into the kind of energy that the brain
can detect.
From the moment the sound was created—by a car horn, or a dog’s
bark, or a whistle—the sound wave has a certain pattern that is different
from other sound wave patterns. This pattern never changes as the sound
wave travels through the air, hits the ear drum, moves on to the middle and
inner ear. The pattern of the sound wave tells the brain what caused the
sound.",Select which context clues give a hint to the meaning of Pinna,,C,…helps to catch the sound waves…,…different kinds of sound waves…,…part of the ear that is outside our head…
"How We Hear Sounds
When a sound is created, it travels from its source in waves, called
sound waves. Different **sources**, or causes, of sounds create different
kinds of sound waves. The part of the ear that is outside our head is called
the **pinna**. The pinna helps to catch the sound waves around us and guide
them inside the ear. As a sound wave enters the ear, it hits the eardrum.
The **eardrum** is a thin layer of skin called a **membrane** that separates the
outer ear from the middle ear. The eardrum is stretched tight, like the top
of a drum, causing it to vibrate when sound waves hit it.
Just behind the eardrum are three tiny bones called **the hammer, the
anvil, and the stirrup**. These are the smallest bones in the human body. All
together, they are no larger than a pea. When a sound wave hits the
eardrum, it begins to vibrate and press back against the tiny bones in the
inner ear. The bones pick up the sound wave and pass it on into the inner
ear. In the inner ear, a spiral-shaped tube called the **cochlea** carries the
sound wave along and transforms it into the kind of energy that the brain
can detect.
From the moment the sound was created—by a car horn, or a dog’s
bark, or a whistle—the sound wave has a certain pattern that is different
from other sound wave patterns. This pattern never changes as the sound
wave travels through the air, hits the ear drum, moves on to the middle and
inner ear. The pattern of the sound wave tells the brain what caused the
sound.",Select which context clues give a hint to the meaning of eardrum,,B,…enters the ear…,…thin layer of skin…,…stretched tight…
"How We Hear Sounds
When a sound is created, it travels from its source in waves, called
sound waves. Different **sources**, or causes, of sounds create different
kinds of sound waves. The part of the ear that is outside our head is called
the **pinna**. The pinna helps to catch the sound waves around us and guide
them inside the ear. As a sound wave enters the ear, it hits the eardrum.
The **eardrum** is a thin layer of skin called a **membrane** that separates the
outer ear from the middle ear. The eardrum is stretched tight, like the top
of a drum, causing it to vibrate when sound waves hit it.
Just behind the eardrum are three tiny bones called **the hammer, the
anvil, and the stirrup**. These are the smallest bones in the human body. All
together, they are no larger than a pea. When a sound wave hits the
eardrum, it begins to vibrate and press back against the tiny bones in the
inner ear. The bones pick up the sound wave and pass it on into the inner
ear. In the inner ear, a spiral-shaped tube called the **cochlea** carries the
sound wave along and transforms it into the kind of energy that the brain
can detect.
From the moment the sound was created—by a car horn, or a dog’s
bark, or a whistle—the sound wave has a certain pattern that is different
from other sound wave patterns. This pattern never changes as the sound
wave travels through the air, hits the ear drum, moves on to the middle and
inner ear. The pattern of the sound wave tells the brain what caused the
sound.",Select which context clues give a hint to the meaning of membrane,,C,…the eardrum…,…causing it to vibrate…,…thin layer of skin…
"How We Hear Sounds
When a sound is created, it travels from its source in waves, called
sound waves. Different **sources**, or causes, of sounds create different
kinds of sound waves. The part of the ear that is outside our head is called
the **pinna**. The pinna helps to catch the sound waves around us and guide
them inside the ear. As a sound wave enters the ear, it hits the eardrum.
The **eardrum** is a thin layer of skin called a **membrane** that separates the
outer ear from the middle ear. The eardrum is stretched tight, like the top
of a drum, causing it to vibrate when sound waves hit it.
Just behind the eardrum are three tiny bones called **the hammer, the
anvil, and the stirrup**. These are the smallest bones in the human body. All
together, they are no larger than a pea. When a sound wave hits the
eardrum, it begins to vibrate and press back against the tiny bones in the
inner ear. The bones pick up the sound wave and pass it on into the inner
ear. In the inner ear, a spiral-shaped tube called the **cochlea** carries the
sound wave along and transforms it into the kind of energy that the brain
can detect.
From the moment the sound was created—by a car horn, or a dog’s
bark, or a whistle—the sound wave has a certain pattern that is different
from other sound wave patterns. This pattern never changes as the sound
wave travels through the air, hits the ear drum, moves on to the middle and
inner ear. The pattern of the sound wave tells the brain what caused the
sound.","Select which context clues give a hint to the meaning of The hammer, the anvil, and the stirrup",,A,…three tiny bones…,…just behind the eardrum…,…no longer than a pea…
"How We Hear Sounds
When a sound is created, it travels from its source in waves, called
sound waves. Different **sources**, or causes, of sounds create different
kinds of sound waves. The part of the ear that is outside our head is called
the **pinna**. The pinna helps to catch the sound waves around us and guide
them inside the ear. As a sound wave enters the ear, it hits the eardrum.
The **eardrum** is a thin layer of skin called a **membrane** that separates the
outer ear from the middle ear. The eardrum is stretched tight, like the top
of a drum, causing it to vibrate when sound waves hit it.
Just behind the eardrum are three tiny bones called **the hammer, the
anvil, and the stirrup**. These are the smallest bones in the human body. All
together, they are no larger than a pea. When a sound wave hits the
eardrum, it begins to vibrate and press back against the tiny bones in the
inner ear. The bones pick up the sound wave and pass it on into the inner
ear. In the inner ear, a spiral-shaped tube called the **cochlea** carries the
sound wave along and transforms it into the kind of energy that the brain
can detect.
From the moment the sound was created—by a car horn, or a dog’s
bark, or a whistle—the sound wave has a certain pattern that is different
from other sound wave patterns. This pattern never changes as the sound
wave travels through the air, hits the ear drum, moves on to the middle and
inner ear. The pattern of the sound wave tells the brain what caused the
sound.",Select which context clues give a hint to the meaning of cochlea,,B,…the inner ear…,…spiral-shaped tube…,…carries the sound wave…
"The Water Cycle
You can’t see it, but the water **cycle** is always in motion on
the earth. This series of events goes round and round, again
and again, providing clean, fresh water for the land and seas.
As water goes through this cycle, it is sometimes solid ice,
sometimes liquid water, and sometimes a gas called water
**vapor**.
The energy that drives the water cycle is heat. When heat
is added to ice, the ice melts into water. When heat is added to
water, it **evaporates**, turning from liquid into gas. When heat is
taken away from water vapor, it **condenses**, turning from gas
into liquid. When heat is taken away from water, it freezes,
turning from liquid to solid.
The heat from the sun warms the water in oceans and
rivers. The water changes into water vapor that rises into the
air. High above the earth, the water vapor cools and becomes
tiny **particles** of water that create clouds. As the clouds gather
more and more particles of water, the water falls as rain or
snow, which are two forms of **precipitation**. This precipitation is
absorbed in the ground or is added to the water in oceans,
lakes, and rivers. The cycle is always, constantly, in process,
everywhere in the world.",Select which context clues give a hint to the meaning of cycle,,C,…can’t see it…,…on the earth…,…series of events goes round and round…
"The Water Cycle
You can’t see it, but the water **cycle** is always in motion on
the earth. This series of events goes round and round, again
and again, providing clean, fresh water for the land and seas.
As water goes through this cycle, it is sometimes solid ice,
sometimes liquid water, and sometimes a gas called water
**vapor**.
The energy that drives the water cycle is heat. When heat
is added to ice, the ice melts into water. When heat is added to
water, it **evaporates**, turning from liquid into gas. When heat is
taken away from water vapor, it **condenses**, turning from gas
into liquid. When heat is taken away from water, it freezes,
turning from liquid to solid.
The heat from the sun warms the water in oceans and
rivers. The water changes into water vapor that rises into the
air. High above the earth, the water vapor cools and becomes
tiny **particles** of water that create clouds. As the clouds gather
more and more particles of water, the water falls as rain or
snow, which are two forms of **precipitation**. This precipitation is
absorbed in the ground or is added to the water in oceans,
lakes, and rivers. The cycle is always, constantly, in process,
everywhere in the world.",Select which context clues give a hint to the meaning of Vapor,,B,…through this cycle…,…a gas…,…liquid water…
"The Water Cycle
You can’t see it, but the water **cycle** is always in motion on
the earth. This series of events goes round and round, again
and again, providing clean, fresh water for the land and seas.
As water goes through this cycle, it is sometimes solid ice,
sometimes liquid water, and sometimes a gas called water
**vapor**.
The energy that drives the water cycle is heat. When heat
is added to ice, the ice melts into water. When heat is added to
water, it **evaporates**, turning from liquid into gas. When heat is
taken away from water vapor, it **condenses**, turning from gas
into liquid. When heat is taken away from water, it freezes,
turning from liquid to solid.
The heat from the sun warms the water in oceans and
rivers. The water changes into water vapor that rises into the
air. High above the earth, the water vapor cools and becomes
tiny **particles** of water that create clouds. As the clouds gather
more and more particles of water, the water falls as rain or
snow, which are two forms of **precipitation**. This precipitation is
absorbed in the ground or is added to the water in oceans,
lakes, and rivers. The cycle is always, constantly, in process,
everywhere in the world.",Select which context clues give a hint to the meaning of evaporate,,C,…heat is added to water…,…heat is taken away…,…turning from liquid into gas…
"The Water Cycle
You can’t see it, but the water **cycle** is always in motion on
the earth. This series of events goes round and round, again
and again, providing clean, fresh water for the land and seas.
As water goes through this cycle, it is sometimes solid ice,
sometimes liquid water, and sometimes a gas called water
**vapor**.
The energy that drives the water cycle is heat. When heat
is added to ice, the ice melts into water. When heat is added to
water, it **evaporates**, turning from liquid into gas. When heat is
taken away from water vapor, it **condenses**, turning from gas
into liquid. When heat is taken away from water, it freezes,
turning from liquid to solid.
The heat from the sun warms the water in oceans and
rivers. The water changes into water vapor that rises into the
air. High above the earth, the water vapor cools and becomes
tiny **particles** of water that create clouds. As the clouds gather
more and more particles of water, the water falls as rain or
snow, which are two forms of **precipitation**. This precipitation is
absorbed in the ground or is added to the water in oceans,
lakes, and rivers. The cycle is always, constantly, in process,
everywhere in the world.",Select which context clues give a hint to the meaning of condense,,A,…turning from gas into liquid…,…it freezes…,…turning from liquid to solid…
"The Water Cycle
You can’t see it, but the water **cycle** is always in motion on
the earth. This series of events goes round and round, again
and again, providing clean, fresh water for the land and seas.
As water goes through this cycle, it is sometimes solid ice,
sometimes liquid water, and sometimes a gas called water
**vapor**.
The energy that drives the water cycle is heat. When heat
is added to ice, the ice melts into water. When heat is added to
water, it **evaporates**, turning from liquid into gas. When heat is
taken away from water vapor, it **condenses**, turning from gas
into liquid. When heat is taken away from water, it freezes,
turning from liquid to solid.
The heat from the sun warms the water in oceans and
rivers. The water changes into water vapor that rises into the
air. High above the earth, the water vapor cools and becomes
tiny **particles** of water that create clouds. As the clouds gather
more and more particles of water, the water falls as rain or
snow, which are two forms of **precipitation**. This precipitation is
absorbed in the ground or is added to the water in oceans,
lakes, and rivers. The cycle is always, constantly, in process,
everywhere in the world.",Select which context clues give a hint to the meaning of particle,,A,…tiny…,…create…,…becomes…
"The Water Cycle
You can’t see it, but the water **cycle** is always in motion on
the earth. This series of events goes round and round, again
and again, providing clean, fresh water for the land and seas.
As water goes through this cycle, it is sometimes solid ice,
sometimes liquid water, and sometimes a gas called water
**vapor**.
The energy that drives the water cycle is heat. When heat
is added to ice, the ice melts into water. When heat is added to
water, it **evaporates**, turning from liquid into gas. When heat is
taken away from water vapor, it **condenses**, turning from gas
into liquid. When heat is taken away from water, it freezes,
turning from liquid to solid.
The heat from the sun warms the water in oceans and
rivers. The water changes into water vapor that rises into the
air. High above the earth, the water vapor cools and becomes
tiny **particles** of water that create clouds. As the clouds gather
more and more particles of water, the water falls as rain or
snow, which are two forms of **precipitation**. This precipitation is
absorbed in the ground or is added to the water in oceans,
lakes, and rivers. The cycle is always, constantly, in process,
everywhere in the world.",Select which context clues give a hint to the meaning of Precipitation,,B,…particles of water…,…rain or snow…,…absorbed in the ground…
"The Rock Cycle
Rock may seem to last forever, but it is actually always
changing. It is always in one of the stages of the rock **cycle**.
This series of events in the rock cycle takes thousands of
years. But the cycle is always in motion.
The pressure inside the earth produces enough heat to
melt the rock there. This melted rock, or **magma**, seeps up into
the top crust of the earth, or it erupts from volcanoes. In the
earth’s crust, and around the volcanoes, the magma cools into
solid rock. This kind of rock is called **igneous rock**.
Over time, igneous rock breaks down into smaller and
smaller pieces. This process, called **weathering**, produces soil,
or **sediment**.
Water and wind carry the bits of soil into piles called
sediment beds. This transportation of the soil to the sediment
beds is called **erosion**. As the sediment is pressed down by
more and more sediment on top, the lower levels turn into
**sedimentary rock**.
As more and more layers of sedimentary rock are formed,
the layers on the bottom are pushed down deeper. They grow
hot from the pressure. Finally, they are heated into magma, and
the cycle is complete—and ready to begin again.",Select which context clues give a hint to the meaning of cycle,,B,…one of the stages…,…series of events…,…thousands of years…
"The Rock Cycle
Rock may seem to last forever, but it is actually always
changing. It is always in one of the stages of the rock **cycle**.
This series of events in the rock cycle takes thousands of
years. But the cycle is always in motion.
The pressure inside the earth produces enough heat to
melt the rock there. This melted rock, or **magma**, seeps up into
the top crust of the earth, or it erupts from volcanoes. In the
earth’s crust, and around the volcanoes, the magma cools into
solid rock. This kind of rock is called **igneous rock**.
Over time, igneous rock breaks down into smaller and
smaller pieces. This process, called **weathering**, produces soil,
or **sediment**.
Water and wind carry the bits of soil into piles called
sediment beds. This transportation of the soil to the sediment
beds is called **erosion**. As the sediment is pressed down by
more and more sediment on top, the lower levels turn into
**sedimentary rock**.
As more and more layers of sedimentary rock are formed,
the layers on the bottom are pushed down deeper. They grow
hot from the pressure. Finally, they are heated into magma, and
the cycle is complete—and ready to begin again.",Select which context clues give a hint to the meaning of magma,,B,…produces enough heat…,…melted rock…,…top crust of the earth…
"The Rock Cycle
Rock may seem to last forever, but it is actually always
changing. It is always in one of the stages of the rock **cycle**.
This series of events in the rock cycle takes thousands of
years. But the cycle is always in motion.
The pressure inside the earth produces enough heat to
melt the rock there. This melted rock, or **magma**, seeps up into
the top crust of the earth, or it erupts from volcanoes. In the
earth’s crust, and around the volcanoes, the magma cools into
solid rock. This kind of rock is called **igneous rock**.
Over time, igneous rock breaks down into smaller and
smaller pieces. This process, called **weathering**, produces soil,
or **sediment**.
Water and wind carry the bits of soil into piles called
sediment beds. This transportation of the soil to the sediment
beds is called **erosion**. As the sediment is pressed down by
more and more sediment on top, the lower levels turn into
**sedimentary rock**.
As more and more layers of sedimentary rock are formed,
the layers on the bottom are pushed down deeper. They grow
hot from the pressure. Finally, they are heated into magma, and
the cycle is complete—and ready to begin again.",Select which context clues give a hint to the meaning of Igneous rock,,A,…magma cools into solid rock…,…this kind of rock…,…the earth’s crust…
"The Rock Cycle
Rock may seem to last forever, but it is actually always
changing. It is always in one of the stages of the rock **cycle**.
This series of events in the rock cycle takes thousands of
years. But the cycle is always in motion.
The pressure inside the earth produces enough heat to
melt the rock there. This melted rock, or **magma**, seeps up into
the top crust of the earth, or it erupts from volcanoes. In the
earth’s crust, and around the volcanoes, the magma cools into
solid rock. This kind of rock is called **igneous rock**.
Over time, igneous rock breaks down into smaller and
smaller pieces. This process, called **weathering**, produces soil,
or **sediment**.
Water and wind carry the bits of soil into piles called
sediment beds. This transportation of the soil to the sediment
beds is called **erosion**. As the sediment is pressed down by
more and more sediment on top, the lower levels turn into
**sedimentary rock**.
As more and more layers of sedimentary rock are formed,
the layers on the bottom are pushed down deeper. They grow
hot from the pressure. Finally, they are heated into magma, and
the cycle is complete—and ready to begin again.",Select which context clues give a hint to the meaning of weathering,,C,…this kind of rock…,…over time…,…breaks down into smaller and smaller pieces…
"The Rock Cycle
Rock may seem to last forever, but it is actually always
changing. It is always in one of the stages of the rock **cycle**.
This series of events in the rock cycle takes thousands of
years. But the cycle is always in motion.
The pressure inside the earth produces enough heat to
melt the rock there. This melted rock, or **magma**, seeps up into
the top crust of the earth, or it erupts from volcanoes. In the
earth’s crust, and around the volcanoes, the magma cools into
solid rock. This kind of rock is called **igneous rock**.
Over time, igneous rock breaks down into smaller and
smaller pieces. This process, called **weathering**, produces soil,
or **sediment**.
Water and wind carry the bits of soil into piles called
sediment beds. This transportation of the soil to the sediment
beds is called **erosion**. As the sediment is pressed down by
more and more sediment on top, the lower levels turn into
**sedimentary rock**.
As more and more layers of sedimentary rock are formed,
the layers on the bottom are pushed down deeper. They grow
hot from the pressure. Finally, they are heated into magma, and
the cycle is complete—and ready to begin again.",Select which context clues give a hint to the meaning of sediment,,B,…process…,…soil…,…water and wind…
"The Rock Cycle
Rock may seem to last forever, but it is actually always
changing. It is always in one of the stages of the rock **cycle**.
This series of events in the rock cycle takes thousands of
years. But the cycle is always in motion.
The pressure inside the earth produces enough heat to
melt the rock there. This melted rock, or **magma**, seeps up into
the top crust of the earth, or it erupts from volcanoes. In the
earth’s crust, and around the volcanoes, the magma cools into
solid rock. This kind of rock is called **igneous rock**.
Over time, igneous rock breaks down into smaller and
smaller pieces. This process, called **weathering**, produces soil,
or **sediment**.
Water and wind carry the bits of soil into piles called
sediment beds. This transportation of the soil to the sediment
beds is called **erosion**. As the sediment is pressed down by
more and more sediment on top, the lower levels turn into
**sedimentary rock**.
As more and more layers of sedimentary rock are formed,
the layers on the bottom are pushed down deeper. They grow
hot from the pressure. Finally, they are heated into magma, and
the cycle is complete—and ready to begin again.",Select which context clues give a hint to the meaning of Erosion,,A,…transportation of the soil…,…sediment is pressed down…,…more sediment on top…
"Zack and Andy were building a spaceship from a kit Zack got for his birthday.
There were lots of small pieces spread out all over the table. “That’s a lot of
pieces!” Andy said.
Zack unfolded the paper that had the directions. It had pictures to show how
to put the spaceship together, step by step. He showed the paper to Andy.
“Look,” said Zack. “It starts with four of these long thin pieces.
",What probably happened next?,,B,Zack and Andy called Zack’s mom for help.,Zack and Andy looked for four of the long thin pieces.,Zack and Andy sorted the pieces into three piles.
"“Do you want me to quiz you?” Paulina’s mom asked.
“I don’t know.” Paulina replied. “I went through the list three times last night. I
think I can spell all the words.”
“Better safe than sorry,” Paulina’s mom said. “And you have plenty of time
before the bus comes.”
Tina handed her word list to her mom.",What probably happened next?,,B,Paulina made a sandwich for her lunch,Paulina’s mom quizzed her on the spelling words.,Paulina was late for the school bus.
"Sean looked around the lunch room, then went and sat across from his friend
Eric. “Hey, Sean,” Eric said, holding up a paperback book. “I just finished
reading this book, The Boy at the End of the World. It’s about this time way in
the future. This kid wakes up in some blown-up laboratory. Then this robot
says that the kid is the last human alive. But the robot says there may be
more humans stored away in pods that they can rescue—if they can find
them. Then this baby mammoth starts following them around, and wanting to
be friends.”
Sean pointed to the cover of the book. “Is this the robot?” he asked.
Eric nodded, and showed Sean another picture inside the book. “And this is
the baby mammoth. The kid calls the mammoth ‘Protein.’ You want to borrow
the book?” he asked. “I got it for my birthday.”",What probably happened next?,,A,Sean borrowed the book.,Eric put the book in his backpack.,Sean told Eric about a book he had read.
"“Lin’s mom just called,” said Katy’s mom. “She said Lin has a fever, and is
staying home from school today.
“Oh shoot,” said Katy. “We’re partners on our science project, and everyone’s
going to be working on their projects today. I guess I’ll just have to do all the
work myself.”
“Hmmm,” said Katy’s mom. “When is the project due?”
“It’s not due for a week. We’re just getting started on it.”
“Maybe your teacher would let you work on your other homework while the
class is working on the project. Then when Lin gets better, she can come over
here after school, and the two of you can catch up on the project. Do you want
me to write a note to your teacher to see if that would be OK?
What probably happened next?",What probably happened next?,,C,Katy called Lin’s mom.,Katy’s mom called Lin’s mom.,Katy’s mom wrote a note.
"Joey ran across the soccer field to join his team. “Hey you guys! Sorry I’m
late! My mom got home from work a little late.”
“That’s ok,” Joey’s coach said. “Could you go over and grab that bag of
oranges from Chris’s mom?”",What probably happened next?,,B,Joey’s mom brought the oranges to the team.,Joey got the oranges from Chris’s mom.,Chris got the oranges from his mom.
"Jenny couldn’t wait for the school day to be over. Aunt Sophie was visiting,
and had promised to take Jenny Christmas shopping after school. Jenny had
been saving her money for weeks and weeks. She had some good ideas for
what to get her mom and her sister Claire. But she had no idea what to get for
her dad.
She thought about that during Language Arts class. She thought about it
during Social Studies and Math. Not socks. Not handkerchiefs. Those were
boring. Then, in Science class, she had a great idea. Her dad liked to work in
the little garden in their back yard. Jenny had noticed that his garden clippers
had been left out in the rain, and were all rusty. That would be the first item on
her list.
Finally, the bell rang. Aunt Sophie was waiting for Jenny outside in the car.
“Where to first?” Aunt Sophie asked.",What probably happened next?,,C,Jenny asked to go for ice cream.,Jenny asked to go to her friend’s house.,Jenny asked to go to the hardware store.
"The phone rang, and Katya’s mom picked it up. She listened for a few seconds, and then said “I’ll be there right away.” She hung up the phone and turned to Katya. “Katya,” she said. “Get your coat. Your dad missed the bus home from work.”",What probably happened next?,,B,Katya and her mom went to the grocery store,Katya and her mom went in the car to pick up Katya’s dad from work.,Katya made a phone call to her dad.
"Karin got dressed for school and checked to see that she had put her homework in her backpack. Then she looked out the window. “Wow!” she cried. She ran to the kitchen. “Did you see the snow, Mom? It must be a foot deep!” “I know,” said Mom. “I was just listening to the news. You should probably go and change into your play clothes.”",What probably happened next?,,C,Karin put her homework in her backpack.,Karin looked out the window.,Karin changed her clothes and stayed home.
